batting_team,bowling_team,venue,runs,wickets,overs,runs_last_5,wickets_last_5,crr,overs_left,wkts_in_hand,in_powerplay,remaining_runs
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",7,0,1.0,7.0,0.0,7.0,19.0,10,1,200
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",23,1,2.0,23.0,1.0,11.5,18.0,9,1,184
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",29,1,3.0,29.0,1.0,9.666666666666666,17.0,9,1,178
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",33,1,4.0,33.0,1.0,8.25,16.0,9,1,174
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",42,1,5.0,42.0,1.0,8.4,15.0,9,1,165
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",59,1,6.0,52.0,1.0,9.833333333333334,14.0,9,1,148
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",64,1,7.0,41.0,0.0,9.142857142857142,13.0,9,0,143
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",75,1,8.0,46.0,0.0,9.375,12.0,9,0,132
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",84,1,9.0,51.0,0.0,9.333333333333334,11.0,9,0,123
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",88,1,10.0,46.0,0.0,8.8,10.0,9,0,119
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",98,2,11.0,39.0,1.0,8.909090909090908,9.0,8,0,109
Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",106,2,12.0,42.0,1.0,8.833333333333334,8.0,8,0,101
